,resto name,mark,location
276,restaurant Tayought,4.5,"Rue du Centre, Mirleft, Souss-Massa, Morocco"
277,Chez Yassine,5,"Rue Zayan, Essaouira, Marrakech-Safi, Morocco"
278,La Villa Blanche,4.5,"62 avenue du Lazaret, La Rochelle, Charente-Maritime, Nouvelle-Aquitaine, France"
279,Matsuri,4,"Avenue Mohamed VI, Rabat, Rabat-Sale-Kenitra, Morocco"
280,Taghazout,4,"7 Rue Sebbahi, Rabat, Rabat-Sale-Kenitra, Morocco"
281,Burger Saloon,4,"Zichron-Binyamina Road, Zichron Yaakov, Haifa District, Israel"
282,Chez Brahim,4,"KM 14 Plage D'imourane, Aourir, Souss-Massa, Morocco"
283,"Shipudei Hatikva, Israeli Grill Restaurant",3,"88 Retsif Herbert Samuel, Tel Aviv, Tel Aviv District, Israel"
284,Kasbah Authentic Moroccan Restaurant,3.5,"1471 NW 85th St, Seattle, Washington"
285,Venezia Ice,3,"Rue Zahla, Rabat, Rabat-Sale-Kenitra, Morocco"
286,Oasis Cafe,3.5,"Station service Afriquia - Av. Abdelkrim Khattabi, Marrakech, Marrakech-Safi, Morocco"
287,Le Chrysalis,3.5,"Avenue du Caire, Essaouira, Marrakech-Safi, Morocco"
288,Kui-Zin Medina,4.5,"12, Rue Amsefah, Sidi Abdelaziz .Medina, Marrakech, Marrakech-Safi, Morocco"
289,Le Bon Cafe,4.5,"61 South End, Croydon, Greater London, England, United Kingdom"
290,Restaurant Chez Nadia,5,"Boulevard Moukhtar Soussi, Tafraoute, Souss-Massa, Morocco"
291,Ksar Char-Bagh,4.5,"Palmeraie de Marrakech, Marrakech, Marrakech-Safi, Morocco"
292,CoteSud,4.5,"Bp 710, Ouarzazate, Draa-Tafilalet, Morocco"
293,Nomad Food & Wine,4.5,"Kristiinankatu 5, Turku, Southwest Finland, Finland"
294,Le Sesame,4.5,"27 rue de la Mer, Calais, Pas-de-Calais, Hauts-de-France, France"
295,Al Fassia Aguedal Restaurant,4,"55 Boulevard Zerktouni, Marrakech, Marrakech-Safi, Morocco"
296,NOMAD,4,"1, Derb Aajrane, Marrakech, Marrakech-Safi, Morocco"
297,Black - Beersheba,3.5,"Yishparo Planet Kiryat Yehudit Industrial Zone Baruch Katinka, 2, Beersheba, Southern District, Israel"
298,panorama,3.5,"Avenue Mohammed 6th, Tangier, Tanger-Tetouan-Al Hoceima, Morocco"
299,Al Farid Restaurant,4.5,"3 Cathedral Yard, Exeter, Devon, England, United Kingdom"
300,Bio Beldi restaurant maison d'hote,5,"Ammeln, Ait Omgas, Souss-Massa, Morocco"
301,Port 19 Shlomo HaMeleh,4.5,"Shlomo HaMelekh St 2, Tel Aviv, Tel Aviv District, Israel"
302,Fat Boys Food Co.,4.5,"Strahinjica Bana 3, Belgrade, Serbia"
303,Burger Ranch,1.5,"2 Arrivals Hall, Tel Aviv, Tel Aviv District, Israel"
304,Habibi Shisha Bar,3.5,"Aranykez utca 5., Budapest, Central Hungary, Hungary"
305,Cafe de France,3,"Piazza Mulay Hassan, Essaouira, Marrakech-Safi, Morocco"
306,Restaurant La Paix Taghazout,3.5,"N1, Taghazout, Souss-Massa, Morocco"
307,Mace By Joseph Hadad,3.5,"Benjamin Franklin 16, Bucharest, Romania"
308,Moorish Lounge,4.5,"447 Streatham High Road, London, England, United Kingdom"
309,A l'ombre du figuier,4.5,"22 Passage Akchouch Idzakri, Tiznit, Souss-Massa, Morocco"
310,Wolfnights Yehuda Maccabi,3.5,"Yehuda HaMakkabbi St, 53, Tel Aviv, Tel Aviv District, Israel"
311,Dar Essalam,4,"170, Riad Zitoune El Kedim, Marrakech, Marrakech-Safi, Morocco"
312,Windy Bay Restaurant,4.5,"Oceanfront, Taghazout, Souss-Massa, Morocco"
313,Chez Michel Et Hafida,4.5,"Stall 192, Marche Central, Casablanca, Casablanca-Settat, Morocco"
314,Restaurant Sayef,5,"7 Rue D Agadir, Essaouira, Marrakech-Safi, Morocco"
315,Dameh,5,"15 Gueliz rue Qadi Ayad, El Harti, Marrakech, Marrakech-Safi, Morocco"
316,Mactoob,4.5,"22 Rue Seqala, Essaouira, Marrakech-Safi, Morocco"
317,Restaurant La Kasbah,4.5,"Rue Aguerd-Oudad, Tafraoute, Souss-Massa, Morocco"
318,La Petite Perle,4,"Entre la Place de l'Horloge et La Casbah, Essaouira, Marrakech-Safi, Morocco"
319,Araignee Gourmande,4,"Oualidia plage, Oualidia, Casablanca-Settat, Morocco"
320,Essaouira,4,"16 rue de Magdebourg, Paris, Ile-de-France, France"
321,Restaurant Annajma,4,"2 Avenue Oujda, Tangier, Tanger-Tetouan-Al Hoceima, Morocco"
322,Itran Restaurant,4.5,"Souk Qaryat Al Beri, Shangri-la, Abu Dhabi, Emirate of Abu Dhabi, United Arab Emirates"
323,La Gironde,4.5,"83 Lot du Centre Ouarzazate, Ouarzazate, Draa-Tafilalet, Morocco"
324,Habous,4,"Place EL Mouahdine, Ouarzazate, Draa-Tafilalet, Morocco"
325,Farringtons Restaurant,4,"28East Essex Street, Dublin, County Dublin, Ireland"
326,Dar Josephine,4,"Centre Ville, Taghazout, Souss-Massa, Morocco"
327,taNgia,5,"108 Mitcham Road, London, England, United Kingdom"
328,Restaurant La Tolerance,4.5,"6 Et 8 Rue Attarine, Essaouira, Marrakech-Safi, Morocco"
329,Kvish 90,4.5,"Mahanayim Janction, Rosh Pina, Northern District, Israel"
330,Mogador,4.5,"142 Cardigan Road, Leeds, West Yorkshire, England, United Kingdom"
331,Le Jardin des Aromes,4.5,"69 Avenue Mohamed V, Ouarzazate, Draa-Tafilalet, Morocco"
332,Malaika Riad & Table D’Hotes,5,"Derb Zayan No 17, Essaouira, Marrakech-Safi, Morocco"
333,La Koutoubia,4.5,"10, Rue Pierre Parent,, Rabat, Rabat-Sale-Kenitra, Morocco"
334,Papa Luigi,4.5,"Watergardens, Gibraltar"
335,Riad Dar Zitoune,4.5,"Boutarial El Berrania, Taroudant, Souss-Massa, Morocco"
336,Restaurant Jardin Chrifa,4.5,"16 Derb Bennis, Fes, Fes-Meknes, Morocco"
337,Burger Market,4.5,"3 Ha-Armonim, Jerusalem, Jerusalem District, Israel"
338,Ha'Mitbach Ha'Kaful,4,"Nahalat Binyamin 2, Tel Aviv, Tel Aviv District, Israel"
339,Restaurant Imilchil,4,"8 Rue du Vizir Tazi, Casablanca, Casablanca-Settat, Morocco"
340,Le Grand Balcon Cafe Glacier,3,"Jemaa El Fna, Marrakech, Marrakech-Safi, Morocco"
341,Les Alizes Mogador,4.5,"Rue Skala, Essaouira, Marrakech-Safi, Morocco"
342,Restaurant Le Corail Chez Latifa,5,"Place Chrib Atay, Nr 23_ Rue Laalouj, Essaouira, Marrakech-Safi, Morocco"
343,Cafe Restaurant Nomad,4.5,"5 Avenue Moulay Youseff, Sidi Ifni, Souss-Massa, Morocco"
344,Marrakesh,4.5,"12 Vickers Lane, Louth, Lincolnshire, England, United Kingdom"
345,Henna cafe,4.5,"93 Arset Aouzal Road, Dar EL Basha, Marrakech, Marrakech-Safi, Morocco"
346,Starbucks Gatwick North,3,"Crawley, West Sussex, England, United Kingdom"
347,Dar Marjana,4,"15 Derb Sidi Ali Tair, Marrakech, Marrakech-Safi, Morocco"
348,Restaurante El Ciervo,4,"Shopping Centre - Top Floor, Puerto Rico, Gran Canaria, Canary Islands, Spain"
349,Le Mechoui du Prince,4,"34 rue Monsieur le Prince, Paris, Ile-de-France, France"
350,Marrakesh,4,"2334 2nd Ave, Seattle, Washington"
351,Le Marocain,4,"Avenue Bab Jdid, Marrakech, Marrakech-Safi, Morocco"
352,Alhambra Palace Restaurant,3.5,"1240 W Randolph St, Chicago, Illinois"
353,Agadir Restaurant,4,"Rue des Sablieres 7, Chatelet, Hainaut Province, Wallonia, Belgium"
354,Agadir Moroccan Cuisine,3.5,"3599 NE 207th St, Aventura, Florida"
355,Le Palais d'Agadir,4.5,"5 boulevard Leon Revillon, Boissy-Saint-Leger, Val-de-Marne, Ile-de-France, France"
356,"Au Palmier D, Agadir",4.5,"46 rue du Marechal Lyautey, Villeneuve-le-Roi, Val-de-Marne, Ile-de-France, France"
357,Agadir Cafe,5,"405 Coventry Road, Birmingham, West Midlands, England, United Kingdom"
358,Le Palais D'Agadir,3.5,"20 rue Charles de Gaulle, Deuil-la-Barre, Val-d'Oise, Ile-de-France, France"
359,Le Palais D'agadir,4.5,"18 rue Nationale, Bar Sur Aube, Aube, Grand Est, France"
360,Le Palais D'agadir,4.5,"18 rue Nationale, Bar Sur Aube, Aube, Grand Est, France"
361,Agadir,3.5,"3 Rue Sainte-Catherine, Bayonne, Basque Country, Pyrenees-Atlantiques, Nouvelle-Aquitaine, France"
362,Restaurant L'Agadir,4,"11 rue des Fosses, Saint-Etienne, Loire, Auvergne-Rhone-Alpes, France"
363,Restaurant Bab Agadir,4.5,"Avenue Hassan II, Agadir, Souss-Massa, Morocco"
364,Agadir Restaurant,3.5,"19 Boulevard Khedim Ali, Tlemcen, Tlemcen Province, Algeria"
365,Les saveurs d'Agadir,3.5,"2 av Henri Barbusse, Saint-Maur-des-Fosses, Val-de-Marne, Ile-de-France, France"
366,Agadir,4,"2-27-8 Kamijujo, Kita, Tokyo, Tokyo Prefecture, Kanto, Japan"
367,Agadir Cafe Restaurant,4.5,"22 Central Ave, Manly, Greater Sydney, New South Wales, Australia"
368,Agadir Grillroom Restaurant,3.5,"Buitenlanden 20, Beverwijk, North Holland Province, The Netherlands"
369,Orange Cafe Agadir,3.5,"8 Rue des Orangers, Agadir, Souss-Massa, Morocco"
370,Agadir Burger - Poleg,5,"Map 5, Netanya, Central District, Israel"
371,Al Fassia Agadir,4,"Administration Hotel Bahia Av Des, Agadir, Souss-Massa, Morocco"
372,Center Park Agadir,4,"Av Hassan 2 - Tohmo, Ait Melloul, Agadir, Souss-Massa, Morocco"
373,Le Soleil D'Agadir,4.5,"Route De La Ferme Du Pavillon, Chanteloup-en-Brie, Marne-la-Vallee, Seine-et-Marne, Ile-de-France, France"
374,Restaurant Nassima D'Agadir,5,"288 rue de Clermont, Beauvais, Oise, Hauts-de-France, France"
375,Palais d''Agadir,4.5,"123 Riad Zitoun Lakdim, Marrakech, Marrakech-Safi, Morocco"
376,Ti Cafew Agadir,5,"31 Avenue Ennasim Hay Salam, Agadir, Souss-Massa, Morocco"
377,Agadir,5,"30 Shakham, Petah Tiqwa, Central District, Israel"
378,Friterie Agadir,4.5,"81 B rue de Strasbourg, Mulhouse, Haut-Rhin, Grand Est, France"
379,Agadir,4,"Bolshaya Sadovaya, 3/1, Moscow, Central Russia, Russia"
380,CG Agadir Cafe Snack Pizzeria Thai,no mark,"62 Rue Iligh, Agadir, Souss-Massa, Morocco"
381,Restaurant Aux Delices d'Agadir,5,"88 rue du Mont D Arene, Reims, Marne, Grand Est, France"
382,Ristorante Agadir,5,"Largo Tel Aviv 7, Milan, Lombardy, Italy"
383,Tacos Beldi Agadir,no mark,"105 Rue d'Oujda, Agadir, Souss-Massa, Morocco"
384,O’Sushi Agadir,no mark,"Cite suisse, avenue Generale El Kettani n:6, Agadir, Souss-Massa, Morocco"
385,Restaurant Sat Agadir,no mark,"Bd Ahmed Elhansali No 155, Beni Mellal, Beni Mellal-Khenifra, Morocco"
386,Twin's Tacos Agadir,no mark,"4 Rue Iligh, Agadir, Souss-Massa, Morocco"
387,Restaurant La Medina d'Agadir,no mark,"Aghroud Bensergaou, Agadir, Souss-Massa, Morocco"
388,Sud agadir,4,"Rue maximilien robespierre, Limay, Yvelines, Ile-de-France, France"
389,O'tacos Agadir,2,"Talborjt, Galeries, Agadir, Souss-Massa, Morocco"
390,Tagine d'Agadir,3,"64 boulevard Victor Hugo, Clichy, Hauts-de-Seine, Ile-de-France, France"
391,Riad Alanbar Agadir,no mark,"Marche Municipal D Agadir, Agadir, Souss-Massa, Morocco"
392,La Grande Table Agadir Officiel,5,"Hotel Riu Agadr Boulevard Hassan Ii, Agadir, Souss-Massa, Morocco"
393,Sunday Souk Agadir,no mark,"Porte 10 De Souk Alhad, Agadir, Souss-Massa, Morocco"
394,Restaurant Le Very Table Agadir Bay,no mark,"Agadir bay Founty, Agadir, Souss-Massa, Morocco"
395,Chick N Roast,4.5,"Hay Ait Soual, Tamraght, Agadir, Souss-Massa, Morocco"
396,Golden Gate Restaurant,4.5,"Boulevard 20 Aout, Agadir, Souss-Massa, Morocco"
397,Delizia Pizzeria,4.5,"Angle Avenue Hassan II rue de Madrid, Agadir, Souss-Massa, Morocco"
398,Lebanon Sweets,4.5,"Rue d'Oujda, Agadir, Souss-Massa, Morocco"
399,Pesca Del Dia,4.5,"Avenue Rue duPrince Mouley Abdellah, Agadir, Souss-Massa, Morocco"
400,Patisserie Yassmina,4.5,"Rue Al Wahda Al Watania, Agadir, Souss-Massa, Morocco"
401,Resto Imouran,4.5,"Imourane Essaouira Road, Agadir, Souss-Massa, Morocco"
402,The Hungry Nomad Tamraght,5,"Ait soual, Tamraght, Agadir, Souss-Massa, Morocco"
403,The Pita Bar,4.5,"24 Rue de Meknes, Agadir, Souss-Massa, Morocco"
404,Monkey,4.5,"Les Jardins D'agadir Gh3 Pas Loin De La Pharmacie, Agadir, Souss-Massa, Morocco"
405,Le Market,4.5,"Baie des Palmiers Cite Founty P5 Secteur touristique, Agadir, Souss-Massa, Morocco"
406,Avec Laidy,5,"Hay Sahel, Tamraght, Agadir, Souss-Massa, Morocco"
407,Brooklyn Burger,4.5,"Avenue Hassan II, Agadir, Souss-Massa, Morocco"
408,Bo Passage Cafe&restaurant,4.5,"18 Imm, Technopole 1, Magasin Cm07 I, Agadir, Souss-Massa, Morocco"
409,Dar Tajine Anza,5,"Station Total Anza Ville Route Essaouira Anza, Agadir, Souss-Massa, Morocco"
410,Chariot Coffee & Co,4.5,"Gh 14 N7, Agadir, Souss-Massa, Morocco"
411,Cafe & Restaurant TCHAM,4.5,"Hay Zgoumi Tamraght Commune Aourir, Agadir, Souss-Massa, Morocco"
412,Le happy belly,5,"Route Essaouira, Tamraght, Agadir, Souss-Massa, Morocco"
413,Kim Hoa Restaurant Asiatique,4.5,"Bv 20 Aout Centre Commercial Le Forume, Agadir, Souss-Massa, Morocco"
414,Restaurant Delfino,4.5,"Avenue Moulay Yousef, No 9 Agadir, Agadir, Souss-Massa, Morocco"
415,Le Surfing Cafe,5,"Plage Devils Rock, Tamraght, Agadir, Souss-Massa, Morocco"
416,Why Not,4.5,"112-114 Avenue Moulay Abdellah Impasse des Far Numero, Agadir, Souss-Massa, Morocco"
417,Cafe Resturant O'14,4.5,"Tamraght, Agadir, Souss-Massa, Morocco"
418,Citadel,4,"Rue La Plage, Agadir, Souss-Massa, Morocco"
419,Mona Cafe Restaurant,3.5,"16km Route de Essaouria, Agadir, Souss-Massa, Morocco"
420,Green's,3,"Agadir Bay, Agadir 80000, Agadir, Souss-Massa, Morocco"
421,Le 111 Cafe Club,3.5,"Rue de la Foire, Agadir, Souss-Massa, Morocco"
422,Agora Beach,3,"Rue La Plage, Agadir, Souss-Massa, Morocco"
423,Le Petit Pecheur Talborjt,3,"Galerie Talborjt, Agadir, Souss-Massa, Morocco"
424,Cantanzaro,4,"1 Complxe Hotelier, Agadir, Souss-Massa, Morocco"
425,Bayt Al Mandi Gulf Restaurant,4,"Boulevard Hassan II, Agadir, Souss-Massa, Morocco"
426,Paradis Plage Restaurant,4,"Km 26 Route d'Essaouira Imi Ouddar, Agadir, Souss-Massa, Morocco"
427,La Plancher du Rocher,3.5,"Sea front, Agadir, Souss-Massa, Morocco"
428,La Siciliana World Food,4,"Bloc L, 5 Av. Abdellah Guerssifi AlHouda, Agadir, Souss-Massa, Morocco"
429,Le Diamant Vert,3.5,"Place Al Waha Front de Mer, Agadir, Souss-Massa, Morocco"
430,Spagos Pool Bar,2.5,"Boulevard Mohamed 5, Agadir, Souss-Massa, Morocco"
431,Carre Blanc,4,"93 Av. Tombouctou, Agadir, Souss-Massa, Morocco"
432,Pool Lounge Bar & Restaurant Royal Bay,4,"BP 226 Cite Founty P4 Baie des Palmiers Commune de Bensergao, Agadir, Souss-Massa, Morocco"
433,La Rosace,3,"05 Boulevard Ben Mahfoud Al Yacoubi, Agadir, Souss-Massa, Morocco"
434,Snack Bronx,3,"Av kennedy, talbortj, Agadir, Souss-Massa, Morocco"
435,Sushi Fleur de Ming,3.5,"Founty Secteur Touristique imm, Agadir, Souss-Massa, Morocco"
436,O pasta ville,3.5,"Avenue general EL kettani n 6 bis, Agadir, Souss-Massa, Morocco"
437,La jetee,4,"Agadir beach, near Mac Donald's, Agadir, Souss-Massa, Morocco"
438,El Sombrero,3,"Boulevard Du 20 Aout, Agadir, Souss-Massa, Morocco"
439,La Pergola,3.5,"Km8, Route Agadir-Inezgane, Inezgane, Agadir, Souss-Massa, Morocco"
440,Vibes Restaurant Lounge,4,"48 Complex Agador, Boulevard Du 20 Aout, Agadir, Souss-Massa, Morocco"
441,Meduza Lounge,3.5,"Boulevard Du 20 Aout, Agadir, Souss-Massa, Morocco"
442,Cafe Restaurant Hassan Jolo,4,"Agadir, Souss-Massa, Morocco"
443,Restaurant Pizza Roma,3.5,"Passage Tawada , Front de Mer., Agadir, Souss-Massa, Morocco"
444,Banana Beach Restaurant,4,"Bp 20326, Tamraght, Agadir, Souss-Massa, Morocco"
445,Belle Passion,3.5,"Avenue Abderrahim Bouaabid, Agadir, Souss-Massa, Morocco"
446,So Good,3.5,"Sofitel Agadir Royal Bay Resort, Agadir, Souss-Massa, Morocco"
447,So Lounge,3.5,"4 Cite Founty P, Agadir, Souss-Massa, Morocco"
448,Cafe Vienna,3.5,"Boulevard Mohamed V, Agadir, Souss-Massa, Morocco"
449,Restaurant Hatty Daou,4,"N1, Agadir, Souss-Massa, Morocco"
450,La Tour de Babel,3,"Boulevard Hassan II, Agadir, Souss-Massa, Morocco"
451,Sodivias Cafe Restaurant,2.5,"56 RP 40 Tassila, Agadir, Souss-Massa, Morocco"
452,Restaurant Hatty Daou,4,"N1, Agadir, Souss-Massa, Morocco"
453,Restaurant La Truite,2.5,"Bouleverd Hassan II, Agadir, Souss-Massa, Morocco"
454,Mama Aicha,4.5,"Quartier Les Amicales, Agadir, Souss-Massa, Morocco"
455,Tori Sushi,5,"Av Abdellah Guenoun, Agadir, Souss-Massa, Morocco"
456,Boulangerie Patisseries Tafala,5,"194 Cite Riad Salam, Agadir, Souss-Massa, Morocco"
457,Calipso,5,"Rue des Oranges, Agadir, Souss-Massa, Morocco"
458,Le Coin Des Chefs,4.5,"Avenue Mohamed El Fassi, Agadir, Souss-Massa, Morocco"
459,Source Waves Coffee,5,"N18 Projet Social, Anza, Agadir, Souss-Massa, Morocco"
460,Hey Yallah,5,"Sahel, Tamraght, Agadir, Souss-Massa, Morocco"
461,O'Pizza Chez Didi Pizzeria,4.5,"Hay mohammadi, Agadir, Souss-Massa, Morocco"
462,Best Brochettes,4.5,"Boulevard Abdellah Guenoun, Agadir, Souss-Massa, Morocco"
463,Pause Fleurie,3,"10 Avenue Des Forces Armees Royales, Agadir, Souss-Massa, Morocco"
464,Le P'tit Dome,5,"Boulevard Vingt Aout, Agadir, Souss-Massa, Morocco"
465,Restaurant Tafoukt,3.5,"Behind Uniprix, Agadir, Souss-Massa, Morocco"
466,Hum's Pita,5,"29 Avenue Khalid Bin Walid, Agadir, Souss-Massa, Morocco"
467,Bamboo Thai,4,"Avenue Hassan II, Agadir, Souss-Massa, Morocco"
468,Boreal bistro cafe,3.5,"Rdc imm. R19 I12 Mo1 - Agadir bay, Agadir, Souss-Massa, Morocco"
469,Ikbal Restaurant du Souk,4,"Av Med Ikbal, Agadir, Souss-Massa, Morocco"
470,La Grande Table,2,"F2 Boulevard 20 Aout Secteur Touristique, Agadir, Souss-Massa, Morocco"
471,Le Sesame Boulangerie & Patisserie,4.5,"10 Bis, Avenue Hajj Massoud Al Wafkaoui, Agadir, Souss-Massa, Morocco"
472,Le Festival Cafe & Restaurant,4.5,"Avenue 20 Aout, Agadir, Souss-Massa, Morocco"
473,Ma9loub,4,"08 Avenue hassan I Cite Dakhla, Agadir, Agadir, Souss-Massa, Morocco"
474,Cafe Restaurant Imsouane,5,"3 Avenue Omar Khiam Amsernat, Agadir, Souss-Massa, Morocco"
475,Lilou Coffee & Restaurant,4.5,"N_363, Agadir, Souss-Massa, Morocco"
476,La Poele By Chef Hassan,5,"Av. Sidi Abdellah Ben Hssein, Agadir, Souss-Massa, Morocco"
477,Pizzatino,4.5,"Avenue Moukawama, Agadir, Souss-Massa, Morocco"
478,Lina Surf Pizzeria,3,"Camping Atlantica, Route de Taghazout - Tamraght .Enface De, Tamraght, Agadir, Souss-Massa, Morocco"
479,Mila Noza - La Milanaise,3.5,"Avenue Moulay Yossef, Agadir, Souss-Massa, Morocco"
480,Rich Palace,5,"Agadir, Souss-Massa, Morocco"
481,Snack Riad Al Anbar,4,"Rue Mohamed Iqbal, Agadir, Souss-Massa, Morocco"
482,La Baguette Doree,2,"Avenue Moulay Hassan I, Agadir, Souss-Massa, Morocco"
483,Le Riviet fusion,4.5,"28 Residence KHALIJ ANNAKHIL, Agadir, Souss-Massa, Morocco"
484,Amane Bar,3,"Baie des palmiers, Agadir, Souss-Massa, Morocco"
485,Resto Alikbal,4,"Avenue Mohamed Ikbal, 16, Agadir, Souss-Massa, Morocco"
486,Hamada Fish,5,"No 80 Av Ahmed Al Mansour Dhabi El Qods, Agadir, Souss-Massa, Morocco"
487,Sunset Tamraght,4.5,"Rue Ait Saoul, Tamraght, Agadir, Souss-Massa, Morocco"
488,Dinasty,4.5,"Pres du Marche Municipal, Agadir, Souss-Massa, Morocco"
489,Paradis des Delices,4,"Avenue Kennedy, No 84 Talborjt, Agadir, Souss-Massa, Morocco"
490,Restaurant le savannah,2.5,"5 Complesxe transatlantique,boulevard Mohamed, Agadir, Souss-Massa, Morocco"
491,Saykouk Rooftop,4.5,"29 Rue Yacoub El Mansour, Agadir, Souss-Massa, Morocco"
492,La Blanche Hermine,5,"3 Rue Omar El Khyam, Agadir, Souss-Massa, Morocco"
493,La Plancha de Rocher,3,"Near the Beach, Tamraght, Agadir, Souss-Massa, Morocco"
494,O Crunch,5,"65 Av Qadi Ayad, Agadir, Souss-Massa, Morocco"
495,La Tour d'Or,4.5,"Face caserne Pompiers, Agadir, Souss-Massa, Morocco"
496,Dak-Art,4.5,"Avenue Makka, Agadir, Souss-Massa, Morocco"
497,Jockey Bar,4,"Boulevard du 20 Aout, Agadir, Souss-Massa, Morocco"
498,Audrey Artisan Glacier,4,"16 Place Du Marche Central, Agadir, Souss-Massa, Morocco"
499,Le 7eme Art,4,"Avenue Hassan II, Agadir, Souss-Massa, Morocco"
500,Restaurant Imazighen,5,"Route d'Essaouira, Agadir, Souss-Massa, Morocco"
501,Oasis Restaurant,2.5,"Avenue des fars entre inzegane ait meloul station aftisuis, Agadir, Souss-Massa, Morocco"
502,Sorrento's,3.5,"Hay Mohammadi, Islane, Agadir, Souss-Massa, Morocco"
503,Ohana Poke & Vitamin bar,5,"Rue de la Jeunesse, Tamraght, Agadir, Souss-Massa, Morocco"
504,Caesars,5,"Ave Hassan 2, Agadir, Souss-Massa, Morocco"
505,Bricks & Barrels,5,"M04 Building N:1 Agadir Bay, Agadir, Souss-Massa, Morocco"
506,Kisslaz Cafe,5,"Ait Soual, Tamraght, Agadir, Souss-Massa, Morocco"
507,Bar Brochette,5,"August 20 Blvd, Agadir, Souss-Massa, Morocco"
508,Tonirt,5,"Sahel, Tamraght, Agadir, Souss-Massa, Morocco"
509,Restaurant FRIGE,5,"No 3 Front de Mer, Agadir, Souss-Massa, Morocco"
510,Cafe Inov,5,"Boulevard 11 Janvier, Agadir, Souss-Massa, Morocco"
511,Cafe Maure,4,"B.P. 230 Bensergao, Agadir, Souss-Massa, Morocco"
512,Restaurant Delfino,4,"Hai Nahda N:9, Agadir, Souss-Massa, Morocco"
513,Buenos Cafe,1,"La Marina D'agadir, Agadir, Souss-Massa, Morocco"
514,Boreal,1,"Rdc Imm R19 I12 Mo1 Agadir Bay, Agadir 80000, Agad, Agadir, Souss-Massa, Morocco"
515,Actors Studio,2,"Boulvard 20 Aout, Agadir, Souss-Massa, Morocco"
516,Pizzeria Aquarium,4,"Marina d'Agadir, Agadir, Souss-Massa, Morocco"
517,Mr Kayn,4,"Rue de Meknes, Agadir, Souss-Massa, Morocco"
518,aux 4 vents,1,"Complexe Tawada, Agadir, Souss-Massa, Morocco"
519,O'mac Beldi,4,"Avenue Jamal Abdennacer, Agadir, Souss-Massa, Morocco"
520,BadhdadLi La Specialite,4.5,"157 IMM Sabrina Bd Hassan-2 Agadir 80000, Agadir, Souss-Massa, Morocco"
521,Le Beldi,3,"El Menzeh 3, Imm 4 - Mag 09, Av. Des Forces Armees, Agadir, Souss-Massa, Morocco"
522,Beldi Express,4,"3 Avenue, Agadir, Souss-Massa, Morocco"
523,Crystal O Plaisir,5,"Rdc Tighmirine Hay Salam, Agadir, Souss-Massa, Morocco"
524,Holiday Cafe,5,"Agadir, Souss-Massa, Morocco"
525,Peaky Burger,5,"69 Avenue Mohamed El Fassi, Cite Salam, Agadir, Souss-Massa, Morocco"
526,andalucia,3.5,"76 Avenue Imam Boukhari Erac Bouargane, Agadir, Souss-Massa, Morocco"
527,Domino's Pizza Talborjt,4.5,"Galerie Talborjt, Boulevard Mohammed Cheikh Saadi, Agadir, Souss-Massa, Morocco"
528,Aladdin,3,"Rue de la Foire, Agadir, Souss-Massa, Morocco"
529,Verde Fast Food & Pizzeria,4,"Fal Omlil hay Mohamadi, Agadir, Souss-Massa, Morocco"
530,Chouquet's,5,"N 6-8 Rue 1709-Pergola, Dcheira, Agadir, Souss-Massa, Morocco"
531,L' Atelier,2,"Hassan 1 Dakhla, Agadir, Souss-Massa, Morocco"
532,Casa Mia,3.5,"Marina, Agadir, Souss-Massa, Morocco"
533,Machawi Grill,4.5,"Avenue Hassan II, Agadir, Souss-Massa, Morocco"
534,Mini Delices,5,"03 Avenue des Far IMM N_, Agadir, Souss-Massa, Morocco"
535,Folie Berbere,5,"505 Route Aghroud, Agadir, Souss-Massa, Morocco"
536,"Surf Star - Stay, Chill, & Eat",no mark,"Tamraght, Agadir, Souss-Massa, Morocco"
537,Tomy Food,no mark,"Agadir, Souss-Massa, Morocco"
538,Restaurant La Couronne Bleue,no mark,"Agadir, Souss-Massa, Morocco"
539,La table des saveurs,no mark,"Ain Chaib - Km 40 - No 10, Route Taroudant - Ouled Taima, Agadir, Souss-Massa, Morocco"
540,Clacier Tahiti,5,"Agadir, Souss-Massa, Morocco"
541,Snack Omega+,no mark,"Rue Agdal Bloc C Numero 268 Hay Al Lhouda, Agadir, Souss-Massa, Morocco"
542,Mc'guire,no mark,"Rue Suisse, Agadir, Souss-Massa, Morocco"
543,Talme9lat,no mark,"Av Khmisset, Agadir, Souss-Massa, Morocco"
544,Pizza Here Restaurant,no mark,"Rue Tighanimine, Agadir, Souss-Massa, Morocco"
545,"Quickitchen - Sushi, Wok & more",4,"N 2 Bloc G1, Av. Moulay Hassan I, Agadir, Souss-Massa, Morocco"
546,CrepinOh!,5,"Rue Agured, Agadir, Souss-Massa, Morocco"
547,Coffee 113,no mark,"Cite adrar res alhilal bloc 2, Agadir, Souss-Massa, Morocco"
548,Trezor Restaurant,no mark,"Complexe Tivoli, Agadir, Souss-Massa, Morocco"
549,Anza Spot,no mark,"Anza, Agadir, Souss-Massa, Morocco"
550,Tandaft Coffee Shop,no mark,"Ait Melloul, Agadir, Souss-Massa, Morocco"
551,Carnes A L'as Brazas,no mark,"Oued Ziz, Agadir, Souss-Massa, Morocco"
552,Cafe Nera,no mark,"M38 Place Al Widd, Agadir, Souss-Massa, Morocco"
