,resto name,mark,location
58,La Cantine Des Gazelles,4.5,"6 Dabachi Kennaria, Marrakech, Marrakech-Safi, Morocco"
59,Chez Brahim,4.5,"38 Derb Dabachi, Marrakech, Marrakech-Safi, Morocco"
60,Barometre Marrakech,5,"Rue Moulay Ali Gueliz, Marrakech, Marrakech-Safi, Morocco"
61,Marrakech Artisan,5,"16 George Street, Hastings, East Sussex, England, United Kingdom"
62,Riad Kniza Restaurant,4.5,"34 Derb L'Hotel, Marrakech, Marrakech-Safi, Morocco"
63,Al Fassia Aguedal,4.5,"9bis route de l'Ourika, Marrakech, Marrakech-Safi, Morocco"
64,Cuisine De Terroir,4.5,"St Kennaria 118, Marrakech, Marrakech-Safi, Morocco"
65,Chez Mado,4.5,"Rue Moulay Ali, Marrakech, Marrakech-Safi, Morocco"
66,Le Tanjia,4.5,"Place des Ferblantiers, Marrakech, Marrakech-Safi, Morocco"
67,Bagatelle,4.5,"103, Rue de Yougoslavie, Marrakech, Marrakech-Safi, Morocco"
68,Entrepotes,4.5,"62, Rue Tarik Ibn Zyad, Marrakech, Marrakech-Safi, Morocco"
69,Le Bistro Arabe,4.5,"7/8 Derb Chaabane, Marrakech, Marrakech-Safi, Morocco"
70,La Table de La Sultana,4.5,"403 rue de la Kasbah, Marrakech, Marrakech-Safi, Morocco"
71,16 Cafe,4.5,"Place du 16 Novembre, Marrakech, Marrakech-Safi, Morocco"
72,La Table du Palais,4.5,"63, Rue Sidi El Yamani, Marrakech, Marrakech-Safi, Morocco"
73,Rooftop Restaurant Dardar,4.5,"4 Rue Riad Zitoun el Kdim, Marrakech, Marrakech-Safi, Morocco"
74,Jemaa ElFna Restaurant,4.5,"Boulevard des banques rue Zaari N 42 Kennaria, Marrakech, Marrakech-Safi, Morocco"
75,L'envers,4.5,"29 Rue Ibn Aicha, Marrakech, Marrakech-Safi, Morocco"
76,Dameh,5,"15 Gueliz rue Qadi Ayad, El Harti, Marrakech, Marrakech-Safi, Morocco"
77,Plus 61,4.5,"96 Rue Mohammed El Beqal, Marrakech, Marrakech-Safi, Morocco"
78,Le Petit Cornichon,4.5,"27, Rue Moulay Ali, Marrakech, Marrakech-Safi, Morocco"
79,Restaurant Marrakech,4,"Corner of rue Omar el Mokhtar and bd. Mohammed V, Fes, Fes-Meknes, Morocco"
80,Le TOBSIL,4.5,"22 Derb Abdellah Ben Hessaien. Ksour, Marrakech, Marrakech-Safi, Morocco"
81,Restaurant Le LOFT,4.5,"18 Rue de la Liberte, Marrakech, Marrakech-Safi, Morocco"
82,Teteria y Restaurante Marrakech,4,"Carrera Darro 49, Granada, Province of Granada, Andalucia, Spain"
83,La Patisserie des Princes,4.5,"32, rue Bab Agnaou, Marrakech, Marrakech-Safi, Morocco"
84,Dar Najat's Kitchen,4.5,"Dar Najat, Douar Graoua,, Marrakech, Marrakech-Safi, Morocco"
85,Le 68 Bar A Vin,4.5,"68, Rue de la Liberte, Marrakech, Marrakech-Safi, Morocco"
86,Cafe Mama Afrika,4.5,"Rue Oum Errabia, Marrakech, Marrakech-Safi, Morocco"
87,Palais Jad Mahal,3.5,"10 Rue Haroune Errachid, Marrakech, Marrakech-Safi, Morocco"
88,VITA NOVA,4.5,"36 Rue Ibn Aicha, Marrakech, Marrakech-Safi, Morocco"
89,Poka,5,"N 149 Residence Soluna, Rue Khalid Ben El Oualid, Marrakech, Marrakech-Safi, Morocco"
90,Les Jardins de Bala,4,"26 Rue de la Koutoubia, Marrakech, Marrakech-Safi, Morocco"
91,Dar Yacout,4,"79 Rue Sidi Ahmed Soussi, Marrakech, Marrakech-Safi, Morocco"
92,Katsura,4.5,"Rue Oum Errabia, Marrakech, Marrakech-Safi, Morocco"
93,Ksar Es Saoussan,4.5,"Rue des Ksour 3 Derb El Messaoudyenne, Marrakech, Marrakech-Safi, Morocco"
94,Palais Dar Soukkar,4.5,"3,8 KM, Route de l'Ourika, Marrakech, Marrakech-Safi, Morocco"
95,Cafe Extrablatt,4,"Angle Avenue Echouada Et Rue Alqadissia, Marrakech, Marrakech-Safi, Morocco"
96,Snack Toubkal,4,"Marrakech, Marrakech-Safi, Morocco"
97,Chez Yassine,4.5,"70 Rue Fatima Zahra, Marrakech, Marrakech-Safi, Morocco"
98,Kasbah Cafe,4,"47 Boutouil, Kasbah en Face Des Tambeaux Saadiens, Marrakech, Marrakech-Safi, Morocco"
99,Cafe Babouche,4.5,"37 Rue Des Banque, Marrakech, Marrakech-Safi, Morocco"
100,La Famille,4,"42 Riad Zitoun Jdid, Marrakech, Marrakech-Safi, Morocco"
101,Narwama,4.5,"Hay Zefriti 30, Marrakech, Marrakech-Safi, Morocco"
102,Beats Burger,4.5,"35 Souk Jeld Kimakine, Marrakech, Marrakech-Safi, Morocco"
103,La Trattoria Marrakech,4.5,"179, Rue Mohamed El Beqal Gueliz, Marrakech, Marrakech-Safi, Morocco"
104,Epicurien,4,"Rue Ibrahim El Mazini, Marrakech, Marrakech-Safi, Morocco"
105,Catanzaro,4,"42 rue Tarik Ibn Ziyad, Marrakech, Marrakech-Safi, Morocco"
106,Le Blokk,4.5,"Route des Jardins de la Palmeraie, Marrakech, Marrakech-Safi, Morocco"
107,Dar Marjana,4,"15 Derb Sidi Ali Tair, Marrakech, Marrakech-Safi, Morocco"
108,Fouquet's Marrakech,4.5,"Rue Djebel Alakhdar, Marrakech, Marrakech-Safi, Morocco"
109,Cafe Restaurant Dar L'hssira,5,"15-12 Rue Tachenbacht, Marrakech, Marrakech-Safi, Morocco"
110,Snack Grand Atlas,4.5,"Rue Ibnou Marine, Marrakech, Marrakech-Safi, Morocco"
111,La Villa Des Orangers - Restaurant,4.5,"6 rue Sidi Mimoun, Marrakech, Marrakech-Safi, Morocco"
112,Shtatto Marrakech,4.5,"81 Derb Nkhal, Rahba Lakdima, Marrakech, Marrakech-Safi, Morocco"
113,Casanova Marrakech,4.5,"Av Yacoub el Mansour, Marrakech, Marrakech-Safi, Morocco"
114,Marrakech Cafe Moroccan & Mediterranean,4,"305 Evans Bay Parade, Wellington, Greater Wellington, North Island, New Zealand"
115,El Fenn Cocktail Bar & Restaurant,4,"2 Derb Moulay Abdullah Ben Hezzian, Marrakech, Marrakech-Safi, Morocco"
116,Cafe Chez ZaZa,4.5,"21 Place Bab Fteuh, Marrakech, Marrakech-Safi, Morocco"
117,Kabana,4.5,"Rue Fatima Ezzahra R'mila, Marrakech, Marrakech-Safi, Morocco"
118,So Lounge Marrakech,4.5,"Rue Haroun Errachid, Quartier Hivernage, Marrakech, Marrakech-Safi, Morocco"
119,Fine Mama?,4.5,"89 Passage Prince Moulay Rachid, Marrakech, Marrakech-Safi, Morocco"
120,The Lotus Club,4,"Rue Ahmed Chawki, Marrakech, Marrakech-Safi, Morocco"
121,Patisserie Amandine Marrakech,4.5,"6 Rue de la Liberte, Marrakech, Marrakech-Safi, Morocco"
122,Buddha-Bar Marrakech,4,"Avenue Prince My Rachid, Marrakech, Marrakech-Safi, Morocco"
123,Cafe du Livre,4,"44 Rue Tariq Ibn Ziad, Marrakech, Marrakech-Safi, Morocco"
124,Hotel la Renaissance,3.5,"89 angle Bld Zerktouni et Mohamed V, Marrakech, Marrakech-Safi, Morocco"
125,Taj'in Darna,4,"50 Place Jamaa El Fna, Marrakech, Marrakech-Safi, Morocco"
126,Dar Chef,4.5,"Rue Kennaria N 123 Bis, Marrakech, Marrakech-Safi, Morocco"
127,Cafe Kessabine,4,"77 Souk Kessabine Jamaa Fna, Marrakech, Marrakech-Safi, Morocco"
128,L'Orangerie & Lawrence Bar - Sofitel Marrakech,4.5,"Rue Harroun Errachid, Marrakech, Marrakech-Safi, Morocco"
129,Taj Moroccan Food,5,"1 Rue Moulay Ismail, Marrakech, Marrakech-Safi, Morocco"
130,L'Adresse Jemaa El-Fna,4,"5 Rue la Koutoublia, Marrakech, Marrakech-Safi, Morocco"
131,L'Mida Marrakech,4.5,"78 bis Derb Nkhel, Rahba Kdima, Medina, Marrakech, Marrakech-Safi, Morocco"
132,La Terrasse Ben Youssef,4,"Rue Sidi Mimoun 98, Marrakech, Marrakech-Safi, Morocco"
133,MyKawa,4,"34 rue Yves St Laurent, Marrakech, Marrakech-Safi, Morocco"
134,Zeitoun Cafe Kasbah,4.5,"417 Bab Agnaou, Marrakech, Marrakech-Safi, Morocco"
135,Restaurant Oscar Progres,4,"20, rue Bani Marine, Marrakech, Marrakech-Safi, Morocco"
136,Lao Marrakech,5,"14 et, Benhafssa, 16 Rue Oued El Makhazine, Marrakech, Marrakech-Safi, Morocco"
137,Palais Soleiman,4.5,"Bd 11 Janvier, Marrakech, Marrakech-Safi, Morocco"
138,La Cuisine de Mona,4.5,"Residence Mamoune 5 n 115B, Marrakech, Marrakech-Safi, Morocco"
139,Cafe Des Epices,4,"75, Rahba Lakdima, Medina, Marrakech, Marrakech-Safi, Morocco"
