,hotel name,mark,location
267,Hotel Salama,4,"Centre Ville Tafraout, Tafraoute, Souss-Massa, Morocco"
268,Hotel Kasbah Erg Chebbi,4.5,"Merzouga, Draa-Tafilalet, Morocco"
269,Al Maaden Villahotel & Spa,3.5,"Sidi Youssef Ben Ali, Marrakech, Marrakech-Safi, Morocco"
270,AdventureKeys,4.5,"Taghazout center behind Lapaix Restaurant N8, Taghazout, Souss-Massa, Morocco"
271,Dar Loulema,4.5,"2 Rue Souss, Essaouira, Marrakech-Safi, Morocco"
272,Hotel Cecil,4,"Derb Sidi Bouloukate, Marrakech, Marrakech-Safi, Morocco"
273,Dfrost Almugar Surf and Yoga - Taghazout Villa,4.5,"Taghazout Centre, Taghazout, Souss-Massa, Morocco"
274,Villa Gonatouki,5,"Km 8 Route d'Agadir, Ghazoua, Essaouira, Marrakech-Safi, Morocco"
275,Surf Maroc Taghazout Villa,5,"Centre Ville, Taghazout, Souss-Massa, Morocco"
276,Hotel Ali,3.5,"Rue Moulay Ismail, Marrakech, Marrakech-Safi, Morocco"
277,Desert Bivouac,5,"BP32 Centre Villages, M'Hamid, Souss-Massa, Morocco"
278,Iberostar Club Palmeraie Marrakech,4.5,"6 Commune Rurale Ouidane, Marrakech, Marrakech-Safi, Morocco"
279,Opera Plaza Hotel,4,"Angle Avenue Mohammed VI et Avenue Hassan II, Marrakech, Marrakech-Safi, Morocco"
280,Hotel Najib Agadir,5,"Avenue Hassan 1er cite al massira, Agadir, Souss-Massa, Morocco"
281,Riad La Rose Du Desert,4.5,"181 Arset Aouzal Bab Doukala, Marrakech, Marrakech-Safi, Morocco"
282,Mogador Menzah,3,"Boulevard Mohamed VI, Marrakech, Marrakech-Safi, Morocco"
283,Zephyr Agadir,3,"Agadir, Souss-Massa, Morocco"
284,Riad Les Ammonites,4.5,"Derb el Cadi 51, Marrakech, Marrakech-Safi, Morocco"
285,Hotel Kasbah Sahara Services,4.5,"Abdelkhalek Benalila, M'Hamid, Souss-Massa, Morocco"
286,Kahena Lifestyle Concept,5,"34 Derb Sarij, Marrakech, Marrakech-Safi, Morocco"
287,Maroc Lodge,5,"Douar Regraga, Amizmiz, Marrakech-Safi, Morocco"
288,Riad El Wiam,5,"24 - 25 derb Gnaoua Ben Saleh, Marrakech, Marrakech-Safi, Morocco"
289,Tamraght Hospitality Hostel,5,"Tamraght, Agadir, Souss-Massa, Morocco"
290,Royal Hotel,5,"Boulevard Mohamed V, Agadir, Souss-Massa, Morocco"
291,Easy Surf Maroc,5,"1 Hay Tissaliouline, Tamraght, Agadir, Souss-Massa, Morocco"
292,Anza Surf House,5,"14 Bloc B Dallas, Anza, Agadir, Souss-Massa, Morocco"
293,Mascaret House Lodge & Surf,5,"Hay Zgoumi, Tamraght, Agadir, Souss-Massa, Morocco"
294,Residence Hotel Azour,4.5,"Avenue 29 Fevrier, Agadir, Souss-Massa, Morocco"
295,Auberge Kahina,4.5,"Imsouane Plage, Agadir, Souss-Massa, Morocco"
296,Surf And Friends Pension Complete Surf Yoga Navette,5,"Douar Sahel, Tamraght, Agadir, Souss-Massa, Morocco"
297,Maison Marocaine,4.5,"S/N Route de Valture, Agadir, Souss-Massa, Morocco"
298,Sidi Yusef Home,4.5,"N 91 Sidi Youssef Erac Agadir, Agadir, Souss-Massa, Morocco"
299,Manor House Kandy,4,"Katugastota-Kurunegala Road, Nugawela, Kandy District, Central Province, Sri Lanka"
300,Hotel Palais Saguia,5,"Douar Ait Tament - Ait Igas, Taroudant, Souss-Massa, Morocco"
301,Riad Essadia,4.5,"Hay El Mohite Avenue Mohamed V, Tan-Tan, Guelmim-Oued Noun, Morocco"
302,Riad Louis d'Orient,4.5,"N 3 Derb Ben Rahmoun El Kebir, Bab Taghzoute, Marrakech, Marrakech-Safi, Morocco"
303,Le Nid d'Aigle,4.5,"Route d'Aglou, Tiznit, Souss-Massa, Morocco"
304,Surf Therapy Morocco,5,"Hay Tamaouanza, Aourir, Souss-Massa, Morocco"
305,Palais Prestige du Souss,5,"Ouled Berhill, Taroudant, Souss-Massa, Morocco"
306,Dar Mizik,4.5,"Douar Mzzik, Imlil, Marrakech-Safi, Morocco"
307,Dar Amethyste,4.5,"Route Principale du Tizi N'test, Ouirgane, Marrakech-Safi, Morocco"
308,Amtoudi Aventure,5,"Tigmi Asonfo, Amtoudi, Guelmim-Oued Noun, Morocco"
309,Taghazout Sea Surf,5,"Taghazout, Souss-Massa, Morocco"
310,Hotel Ocean Vagabond Essaouira,4,"4 Boulevard Lalla Aicha, Essaouira, Marrakech-Safi, Morocco"
311,Mogador Express Gueliz,3,"Avenue Hassan II, Marrakech, Marrakech-Safi, Morocco"
312,Dar Limoun Amara,4,"71 Derb Jemaa, Marrakech, Marrakech-Safi, Morocco"
313,Assounfou Apart-Hotel,3,"Angle Rue Imam Malek et Rue Ibn, Marrakech, Marrakech-Safi, Morocco"
314,Residence ISNI,4,"Av. Prince Mly Abdellah .B.P :800, Agadir, Souss-Massa, Morocco"
315,Shems Apartments,3.5,"Rue de l'Hotel de Ville, Agadir, Souss-Massa, Morocco"
316,Aparthotel by Paradis Plage,3.5,"KM 27 Route D'essaouira, Agadir, Souss-Massa, Morocco"
317,Africa Surf Maroc,3,"Tamraght, Agadir, Souss-Massa, Morocco"
318,Imsouane Bay Auberge,2.5,"Aftas Imsouane, Agadir, Souss-Massa, Morocco"
319,Le Beachclub,4,"Route de Tiznit a 10 Km de Sidi- Ifni, Sidi Ifni, Souss-Massa, Morocco"
320,Surf'n Morocco,4,"Imsouane, Souss-Massa, Morocco"
321,Hotel Du Golf Mohammedia,4,"Corner Of Ibn Toumert  And Boutaleb, Mohammedia, Casablanca-Settat, Morocco"
322,Surfari Morocco,1.5,"Hassan II, Taghazout, Souss-Massa, Morocco"
323,Riad Lamin,3,"Derb Zemouri Rue El Gza N134, Bab Doukalla,, Marrakech, Marrakech-Safi, Morocco"
324,Dar Chadia,1,"Rue Alim Chatatani, Casablanca, Casablanca-Settat, Morocco"
325,Hotel Nidaros,3,"Assa, Guelmim-Oued Noun, Morocco"
326,Hotel Le Calme,3,"Village Idaougourd bouzama, Essaouira, Marrakech-Safi, Morocco"
327,Maison d'Hotes Kasbah La Cigogne,4.5,"Tamdaght, Ait Ben Haddou, Souss-Massa, Morocco"
328,Le Tapis Rouge,4.5,"Commanster 22, Vielsalm, Luxembourg Province, The Ardennes, Wallonia, Belgium"
329,Riad Cheburgena Tamraght,4.5,"Village Tissaliwine Tamraght Aourir, Agadir, Souss-Massa, Morocco"
330,Family Surf Camp & Yoga,5,"Hay Sahel, Tamraght, Agadir, Souss-Massa, Morocco"
331,Taghazout Waves,4.5,"Taghazout, Souss-Massa, Morocco"
332,Happy Surf Hostel,4.5,"Taghazout Center, Taghazout, Souss-Massa, Morocco"
333,Amoudou Lodge Camp,4.5,"Akka Nait Sidi, Tissint, Guelmim-Oued Noun, Morocco"
334,Allegro Hotel,3.5,"Ross Street, Saint Julian's, Island of Malta, Malta"
335,Surf Safari Morocco,5,"Route D'Essaouira, Tamraght, Agadir, Souss-Massa, Morocco"
336,SDN Surf Morocco,5,"Essahel, Tamraght, Agadir, Souss-Massa, Morocco"
337,Surf Hostel Morocco,5,"Village Tamraght Rd, N1, Tamraght, Agadir, Souss-Massa, Morocco"
338,Crocro Surf Maroc,5,"Hay Zgoumi,Taghazout Bay, Tamraght, Agadir, Souss-Massa, Morocco"
339,Kenzi Bougafer,2.5,"Boulevard Mohamed V, Tinerhir, Souss-Massa, Morocco"
340,Riad Hotel l'Arganier d'Or,4,"Zaouiat Ifergane, Taroudant, Souss-Massa, Morocco"
341,Riad Aylal,4.5,"Rue abdessalam El Abbadi, Essaouira, Marrakech-Safi, Morocco"
342,Olo Surf & Nature - Dar Zitoun,4.5,"551 Lot Amadel, Imsouane, Souss-Massa, Morocco"
343,Riad Al Ghaliya,4.5,"90, Zaouia, Marrakech, Marrakech-Safi, Morocco"
344,Dar Kenavo,4.5,"Douar Bouzama - BP344, Ghazoua, Essaouira, Marrakech-Safi, Morocco"
345,Hyatt Regency Casablanca,4.5,"Place des Nations Unies, Casablanca, Casablanca-Settat, Morocco"
346,Residence Asaka,2.5,"No. 101 Avenue Hassan II, Agadir, Souss-Massa, Morocco"
347,Hotel Residence Louban,3,"Avenue Mohamed VI, Agadir, Souss-Massa, Morocco"
348,Anezi Tower Hotel,3,"Boulevard Mohammed V, Agadir, Souss-Massa, Morocco"
349,Dar Aalida,4,"Sidi Kaouki, Marrakech-Safi, Morocco"
350,Auberge Souktana,3.5,"Mohamed 5 Route De La Kasbah De Taliouine, Taliouine, Souss-Massa, Morocco"
351,Riad Al Mida,3,"185 Derb Sidi Messaoud, Rue El Gza Bab Doukkala, Marrakech, Marrakech-Safi, Morocco"
352,Camping el barco,3,"Sidi Ifni, Souss-Massa, Morocco"
353,Hotel Riu Tikida Palmeraie,4,"Route Fes, Km 6, Marrakech, Marrakech-Safi, Morocco"
354,Hotel Riu Palace Meloneras,4.5,"Calle Mar Mediterraneo, S/N, Maspalomas, Gran Canaria, Canary Islands, Spain"
355,Movenpick Resort Sharm El Sheikh,4.5,"Naama Bay, Sharm El Sheikh, South Sinai, Red Sea and Sinai, Egypt"
356,Hotel Riu Palace Tikida Agadir,3,"Rte de L'Oued Sous S/N, Agadir, Souss-Massa, Morocco"
357,Riad Karmela,4.5,"10 Derb El Feranne Azbetz, Marrakech, Marrakech-Safi, Morocco"
358,Le Vizir Center Park & Resort,4,"Oulad Ben Rahmon, Route de Casablanca, Marrakech, Marrakech-Safi, Morocco"
359,Novotel Casablanca City Center Hotel,3.5,"Angle Zaid Ouhmad, Casablanca, Casablanca-Settat, Morocco"
360,Sheraton Paris Charles de Gaulle Airport Hotel,4,"Terminal 2C, Tremblay-En-France, Seine-Saint-Denis, Ile-de-France, France"
361,Waverider Hostel,5,"Hay Ait Seoual, Tamraght, Agadir, Souss-Massa, Morocco"
362,Borj Biramane,4.5,"Douar Icht BP74, Fam El Hisn, Guelmim-Oued Noun, Morocco"
363,Dar el Calame,5,"Derb Hidada, 15, Marrakech, Marrakech-Safi, Morocco"
364,Riad Le Jasmin,4.5,"Commune Sidi Dahmane, Taroudant, Souss-Massa, Morocco"
365,La Kasbah du M'Goun - Ait Bouguemez,4.5,"Aguerd N'Ouzrou, Tabant, Beni Mellal-Khenifra, Morocco"
366,Villa Rayane,4.5,"Km 17 Route de Fes Ouled Hassoun, Marrakech, Marrakech-Safi, Morocco"
367,Riad K,5,"29 Derb Nkhale Quartier Rahba Lakdima, Marrakech, Marrakech-Safi, Morocco"
368,La Maison de l'Homme Bleu,5,"Oasis Tighmert, Guelmim, Guelmim-Oued Noun, Morocco"
369,Sun Bivouac Chegaga,5,"Erg Chigaga El Gouera BP8, El Gouera, Souss-Massa, Morocco"
370,Aftas Trip,5,"Route Sidi Ifni, Mirleft, Souss-Massa, Morocco"
371,Le Camp Bedouin,4.5,"Sans, Laayoune, Laayoune-Sakia El Hamra, Morocco"
372,Riad Hermes,4.5,"Bab Laksour - 58 Derb Snan, Marrakech, Marrakech-Safi, Morocco"
373,La Palmeraie de Massa,5,"Douar Ifentar, Massa, Souss-Massa, Morocco"
374,White and Blue,4.5,"15 Rue Laghrissi, Essaouira, Marrakech-Safi, Morocco"
375,Kasbah Hotel Ziz Palace Rissani,4.5,"N13, Rissani, Meknes-Tafilalet Region, Morocco"
376,Atlantica Parc Imiouaddar,4,"KM 27 Au Nord D_Agadir Route D_Essaouira a 7 Km Au Nord de Taghazout, Imi Ouaddar, Souss-Massa, Morocco"
377,Surf Lovers Morocco,5,"Hay Tissaliouine,, Tamraght, Agadir, Souss-Massa, Morocco"
378,Hotel Le Medina Essaouira Thalassa sea & spa - MGallery,4,"Avenue Mohamed V, Essaouira, Marrakech-Safi, Morocco"
379,Kasbah Hotel Said,5,"19 Avenue Mohammed V, Erfoud, Meknes-Tafilalet Region, Morocco"
380,Riad Kerdouss,5,"81, Arzet Aouzal, Marrakech, Marrakech-Safi, Morocco"
381,Nomades - Maison d'Hotes,4.5,"Oasis Tighmert, Guelmim, Guelmim-Oued Noun, Morocco"
382,Riad BenSaid,4.5,"1 Derb El Bir, Riad Zitoun Lakdim, Medina, Marrakech, Marrakech-Safi, Morocco"
383,Riad Zahir,4.5,"Derb Sidi Bou Ameur No 36, Marrakech, Marrakech-Safi, Morocco"
384,Dar Diamar,5,"Bp 1344, Essaouira, Marrakech-Safi, Morocco"
385,Kasbah La Datte D'or,4.5,"Douar Rouha, Skoura, Ouarzazate, Draa-Tafilalet, Morocco"
386,Riad Dar Etto,4.5,"Km 8 ghazoua, Ghazoua, Essaouira, Marrakech-Safi, Morocco"
387,Dakhla Evasion,4.5,"Pk 27, Dakhla, Dakhla-Oued Ed Dahab, Morocco"
388,Kasbah Titrit & Spa,4.5,"Kasbah Titrit, Ait Ben Haddou, Tamedakhte, Ait Ben Haddou, Souss-Massa, Morocco"
389,Woodstock Hostel,5,"24 Rue Ellabbana, Essaouira, Marrakech-Safi, Morocco"
390,Riad Batchisarai,5,"26 Derb El Amer  Fes Medina, Fes, Fes-Meknes, Morocco"
391,Hotel Palais Al Bahja,4,"33 Rue Ibn Al Qadi, Marrakech, Marrakech-Safi, Morocco"
392,Riad Lalla Mogador,4,"12 Rue de l'Iraq, Essaouira, Marrakech-Safi, Morocco"
393,Auberge Les Amis,4,"Place Moulay Rachid, Tafraoute, Souss-Massa, Morocco"
394,Hanane Club,3,"227 Avenue Erraha, Ouarzazate, Draa-Tafilalet, Morocco"
395,Le Littoral,2.5,"Boulevard De L'Ocean Atlantique, Casablanca, Casablanca-Settat, Morocco"
396,Slimania Flat Apart,3.5,"11, Residence Slimania, Rue Al Mostaqbal- Lot Ali ou Hmad, Marrakech, Marrakech-Safi, Morocco"
397,Hotel Majestic,2.5,"Derb Laalouj, Essaouira, Marrakech-Safi, Morocco"
398,Hotel de Paris,3.5,"31 Avenue Hassan II, Tiznit, Souss-Massa, Morocco"
399,Hotel Berlin,3,"261 Boulevard Mohamed V, Rabat, Rabat-Sale-Kenitra, Morocco"
400,Hotel Rania Belmadina,3.5,"32 Bd Du 9 Avril, Casablanca, Casablanca-Settat, Morocco"
401,Hotel Riu Vistamar,4.5,"Avenida de la Cornisa, Puerto Rico, Gran Canaria, Canary Islands, Spain"
402,Kenzi Club Agdal Medina,4.5,"Blvd Mohamed VI, Marrakech, Marrakech-Safi, Morocco"
403,AEQUORA Lanzarote Suites,4.5,"Calle Urano, S/N, Puerto Del Carmen, Tias, Lanzarote, Canary Islands, Spain"
404,Aqua Mirage Marrakech Hotel Club,4,"Km 5, Route de Tahanaout, Marrakech, Marrakech-Safi, Morocco"
405,Dar Del Mare,5,"18 Rue Josef Amiel, El Jadida, Casablanca-Settat, Morocco"
406,The Purple Camel Hostel,4.5,"21 Derb Sidi, Marrakech, Marrakech-Safi, Morocco"
407,Dar Choumissa,4.5,"14 Derb Labzioui, Marrakech, Marrakech-Safi, Morocco"
408,Chez laila,5,"Dar Rouha BP45, Skoura, Ouarzazate, Draa-Tafilalet, Morocco"
409,Domaine Villa Talaa Resort,5,"Douar Talaa, Taroudant, Souss-Massa, Morocco"
410,Hotel Riad Le Lieu,4.5,"273 Impasse Issaoui, Tiznit, Souss-Massa, Morocco"
411,Riad Arocha,4,"28 derb R'hamna, Marrakech, Marrakech-Safi, Morocco"
412,Al Fath Hotel,3.5,"6 Et 8 Rue Skala, Essaouira, Marrakech-Safi, Morocco"
413,East West Hotel,3,"10 Avenue Hassan Souktani, Casablanca, Casablanca-Settat, Morocco"
414,L'Etoile de Mogador,4,"El Ouaqaoui, Essaouira, Marrakech-Safi, Morocco"
415,Riad Jemalhi Mogador,3.5,"6 Rue Sidi Ahmed Ouharoune, Essaouira, Marrakech-Safi, Morocco"
416,Iberostar Playa Gaviotas Park,4.5,"Pasaje Playa 3, Playa de Jandia, Pajara, Jandia Peninsula, Fuerteventura, Canary Islands, Spain"
417,Maison Tigmi Ozro,5,"Boulevard Mokhtar Soussi, Tafraoute, Souss-Massa, Morocco"
418,Argana Hotel,4.5,"Imiane Road, Tafraoute, Souss-Massa, Morocco"
419,Palais Claudio Bravo,4.5,"Route De Tamaloukt, Taroudant, Souss-Massa, Morocco"
420,Maison Ka,5,"N.12, Derb Essaadi, Marrakech, Marrakech-Safi, Morocco"
421,Dar Zemrane,4.5,"28, derb Zemrane, Marrakech, Marrakech-Safi, Morocco"
422,Riad Asma,5,"Jnane Gousrir Bizamare, Taroudant, Souss-Massa, Morocco"
423,Agadir Well,5,"Rue Las Palmas from Boulevard Legzira, Mirleft, Souss-Massa, Morocco"
424,Le Refuge Hotel Auberge Agadir,2.5,"Route Immouzar Akesri, Agadir, Souss-Massa, Morocco"
425,Takad Dream Hostel Agadir,3,"Impasse General Kettani V.N Agadir, Agadir, Souss-Massa, Morocco"
426,Marina Agadir,3,"Agadir, Souss-Massa, Morocco"
427,Caribbean Village Tamlelt,3.5,"Boulevard Mohammed V, Agadir, Souss-Massa, Morocco"
428,Movenpick Hotel Munchen Airport,4,"Ludwigstr. 43, Hallbergmoos, Upper Bavaria, Bavaria, Germany"
429,Hotel Parador,3.5,"Place EL Makhzine, Chefchaouen, Tanger-Tetouan-Al Hoceima, Morocco"
430,Le Relais de Marrakech,4,"Route de Casablanca N9, Marrakech, Marrakech-Safi, Morocco"
431,Azul Guest House Taghazout Bay,5,"N1, Tamraght, Agadir, Souss-Massa, Morocco"
432,Villa Amaryllis,4.5,"Km 8 El Ghazoua, Essaouira, Marrakech-Safi, Morocco"
433,Riad Konouz,5,"Bab Doukkala Rue Elgza Derb Zemmouri N114, Marrakech, Marrakech-Safi, Morocco"
434,Zagora Luxury Desert Camp,5,"Zagora Desert, Zagora, Souss-Massa, Morocco"
435,Riad Zelaka,4.5,"9 Rue Zelaka, Essaouira, Marrakech-Safi, Morocco"
436,Palais Dar Ouladna,4.5,"69 Jawhar, Marrakech, Marrakech-Safi, Morocco"
437,Riad Amani,4.5,"50 Derb Roda -, Marrakech, Marrakech-Safi, Morocco"
438,Riad Ida Ou Balou,4.5,"127, rue Bab Taghzout, Marrakech, Marrakech-Safi, Morocco"
439,Dar Qamar,4.5,"Route d'Aslim - Lieu dit Talaarste, Agdz, Souss-Massa, Morocco"
440,Riad Louaya,4.5,"24 Derb El Halfaoui Dar El Bacha, Marrakech, Marrakech-Safi, Morocco"
441,Riad Dar Nafoura,4.5,"30 Rue Ibn Khaldoun, Essaouira, Marrakech-Safi, Morocco"
442,Hotel Vent des Dunes,4.5,"Quartier des Dunes, Essaouira, Marrakech-Safi, Morocco"
443,Riad Taroudant,4.5,"243 Av. Al Qods, Taroudant, Souss-Massa, Morocco"
444,Riad Habib,4.5,"14, Derb Aabid Allah, Marrakech, Marrakech-Safi, Morocco"
445,Mountain Riad,4.5,"Ait Bihi, Taghazout, Souss-Massa, Morocco"
446,Riad Le Cheval Blanc,4.5,"26 derb El Kaouss, Safi, Marrakech-Safi, Morocco"
447,Dar Mouna Mogador,4.5,"44 Rue Ibn Khaldoun, Essaouira, Marrakech-Safi, Morocco"
448,Dar Louisa,5,"253 Derb Laafou, Taroudant, Souss-Massa, Morocco"
449,Robinson Daidalos,4.5,"Antimachia, Kos, Dodecanese, South Aegean, Greece"
450,Hotel Bellevue,4,"Place Hassan II, Sidi Ifni, Souss-Massa, Morocco"
451,Mercure Quemado Resort Hotel,4.5,"Place Mohamed V, Al Hoceima, Taza-Al Hoceima-Taounate Region, Morocco"
452,Novotel Marrakech Hivernage,3.5,"Rue Haroun Errachid, Marrakech, Marrakech-Safi, Morocco"
453,L'Initiale Hotel-Restaurant,4,"Oualidia Plage, Oualidia, Casablanca-Settat, Morocco"
454,Iberostar Royal Andalus,4.5,"Calle Amilcar Barca, Novo Sancti Petri, Chiclana de la Frontera, Costa de la Luz, Andalucia, Spain"
455,"Radisson Blu Hotel, Casablanca City Center",4,"2 Boulevard Mohamed Diouri, Casablanca, Casablanca-Settat, Morocco"
456,Riad Elixir,4.5,"Rue Bounouala, Marrakech, Marrakech-Safi, Morocco"
457,Dar el Khamlia,5,"Ksar Khamlia, Merzouga, Draa-Tafilalet, Morocco"
458,Dar Caravane,4.5,"Rte d'Agadir, Essaouira, Marrakech-Safi, Morocco"
459,Salt Surf,5,"Centre Taghazout, Taghazout, Souss-Massa, Morocco"
460,Riad Aderbaz,4.5,"40 Derb Al Foundouk, Marrakech, Marrakech-Safi, Morocco"
461,HOTEL Bab Rimal,4,"Douar Amezrou Route De Zagora, Foum Zguid, Guelmim-Oued Noun, Morocco"
462,Riad Hotel Assia,3.5,"32, calle de la Recette, Marrakech, Marrakech-Safi, Morocco"
463,Hotel Les Amandiers,3.5,"Bp. 10, Tafraoute, Souss-Massa, Morocco"
464,Palais Namaskar,4.5,"Route de Bab Atlas, No 88/69, Marrakech, Marrakech-Safi, Morocco"
465,Amouage by Surf Maroc,5,"Route d' Essaouira, Taghazout, Souss-Massa, Morocco"
466,Riad & Spa Esprit du Maroc,4.5,"12 a 17 Derb Belbekkar Zaouit Lhardar, Marrakech, Marrakech-Safi, Morocco"
467,Manzil La Tortue,5,"Km 12, Route de Ouarzazate, Marrakech, Marrakech-Safi, Morocco"
468,Palais Sebban,4.5,"43 Derb Moulay Abdellah Ben Hsseine, Marrakech, Marrakech-Safi, Morocco"
469,Riad Tafilag,5,"31 Derb Taffelaght, Taroudant, Souss-Massa, Morocco"
470,La Fibule d'Or,4.5,"Ait Ben Haddou, Ait Ben Haddou, Souss-Massa, Morocco"
471,Riad Tamdakhte,5,"Ait Ben Haddou, Souss-Massa, Morocco"
472,Dar Sahil,5,"B.P 1044 Avenue, Essaouira, Marrakech-Safi, Morocco"
473,Kaktus Hostel,4.5,"21 Rue Kennaria Derb Zaari, Marrakech, Marrakech-Safi, Morocco"
474,Riad Kafila,5,"Rue Yamen 4bis, Essaouira, Marrakech-Safi, Morocco"
475,Le Pietri Urban Hotel,4.5,"4, rue Tobrouk, Rabat, Rabat-Sale-Kenitra, Morocco"
476,Riad L'Arabesque,4.5,"1 Rue El Kennaria, Marrakech, Marrakech-Safi, Morocco"
477,Riad Dar Othmane,4.5,"198, Derb Essakaya -, Marrakech, Marrakech-Safi, Morocco"
478,Riad Aicha,5,"Bp: 51, Merzouga, Draa-Tafilalet, Morocco"
479,Riad O Gre du Vent,5,"8 Rue Kuwait, Essaouira, Marrakech-Safi, Morocco"
480,Astra Damus Hotel,4.5,"Derb el Maada 42 - 43, Marrakech, Marrakech-Safi, Morocco"
481,Riad Sara,4.5,"17 Derb El Gabasse, Fes, Fes-Meknes, Morocco"
482,Bab el Oued Maroc Ecolodge,5,"Palmeraie Mezguita_, Agdz, Souss-Massa, Morocco"
483,Kaouki Lodge,5,"Piste pour ID Mbarek, Essaouira, Marrakech-Safi, Morocco"
484,Riad Chamali,5,"49 Bis, Derb Zemrane, Marrakech, Marrakech-Safi, Morocco"
485,Les Tourmalines,4.5,"Royal Golf, Ouarzazate, Draa-Tafilalet, Morocco"
486,Riad Le Petit Riad,5,"Avenue Moulay Abdellah 1581, Ouarzazate, Draa-Tafilalet, Morocco"
487,Ecolodge L Ile De Ouarzazate,4.5,"Ouarzazate, Draa-Tafilalet, Morocco"
488,The Source,4.5,"Route de l_ourika, km 10, Marrakech, Marrakech-Safi, Morocco"
489,Riad Tama & Spa,4.5,"Hay Tamassinte, Ouarzazate, Draa-Tafilalet, Morocco"
490,Riad Samarine,4.5,"Derb Defa ou Rbaa, Marrakech, Marrakech-Safi, Morocco"
491,Travel Surf Morocco,5,"Imessouane Beach, Imsouane, Souss-Massa, Morocco"
492,Riad Saada,5,"4 rue Siage, Fes, Fes-Meknes, Morocco"
493,Chez Talout,5,"Oulad Aarbiya, Skoura, Ouarzazate, Draa-Tafilalet, Morocco"
494,Riad Bayti Marrakech,5,"35 Derb Saka, Bab Mellah, Marrakech, Marrakech-Safi, Morocco"
495,Riad Hizad,5,"80 Derb el Cadi, Marrakech, Marrakech-Safi, Morocco"
496,Riad Origines,4.5,"11 Derb Ben Moussa, Marrakech, Marrakech-Safi, Morocco"
497,Riad Tayba,4.5,"31/9, Derb Ben Salem, Fes, Fes-Meknes, Morocco"
498,Dar Andamaure,5,"138 Derb Gach gach, Marrakech, Marrakech-Safi, Morocco"
499,Dar Tighoula,4.5,"Douar Aitsouka, Imlil, Marrakech-Safi, Morocco"
500,Dar el Yasmine,4.5,"talla sghira derb ahl tadla No34, Fes, Fes-Meknes, Morocco"
501,Riad Thais,4.5,"181 Avenue Sidi Mohamed ben Abdallah, Essaouira, Marrakech-Safi, Morocco"
502,Residence Dar Lamia,5,"Rue Mohamed Brahim Ouahat Sidi Brahim, Marrakech, Marrakech-Safi, Morocco"
503,Riad Jnane d'O,5,"28 Derb Arset Aouzal Medina, Marrakech, Marrakech-Safi, Morocco"
504,Riad Aguerzame,5,"66 Derb Jdid, Marrakech, Marrakech-Safi, Morocco"
505,Palais Rhoul & Spa Marrakech,4.5,"Route De Fes _ KM 5 Dar Tounsi, Marrakech, Marrakech-Safi, Morocco"
506,Riad Madu,5,"Hassilabied, Merzouga, Draa-Tafilalet, Morocco"
507,Riad Kasbah,4.5,"101 Derb Harbil-Kasbah, Marrakech, Marrakech-Safi, Morocco"
508,Red Hotel Marrakech,4,"Angle Avenue Mohammed VI Et Avenue Hassan II, Marrakech, Marrakech-Safi, Morocco"
509,Hotel Almas,4,"79, Avenue Moulay Rachid Gueliz, Marrakech, Marrakech-Safi, Morocco"
510,Grand Mogador Sea View  Luxury Hotel,4,"10, Lot Ghandouri Bd. Med V, Tangier, Tanger-Tetouan-Al Hoceima, Morocco"
511,Grand Hotel Tazi,2,"Avenue El Mouahidines / Bab Agnaou, Marrakech, Marrakech-Safi, Morocco"
512,Kennedy Hospitality Resort,3,"Av. Du President Kennedy, Marrakech, Marrakech-Safi, Morocco"
513,Hotel Fashion,4,"45 Avenue Golf, Marrakech, Marrakech-Safi, Morocco"
514,Jnane Leila,4,"353 bd Med VI, Marrakech, Marrakech-Safi, Morocco"
515,Hostel Riad Marrakech Rouge,4,"Riad Zitoune Jdid, Marrakech, Marrakech-Safi, Morocco"
516,Riad Opale,4,"56 Derb Lahri Berrima, Marrakech, Marrakech-Safi, Morocco"
517,ONOMO Hotel Rabat Medina,4,"2, Rue Ghandi / Quartier Hassan, Rabat, Rabat-Sale-Kenitra, Morocco"
518,Ibis Rabat Agdal,4,"32-34, rue Abderrahmanne, Rabat, Rabat-Sale-Kenitra, Morocco"
519,Suerte Loca,4,"7 Avenue Moulay Youssef, Sidi Ifni, Souss-Massa, Morocco"
520,Riad Al Mansoura,4,"Hay Essalam Derb Manchoura 11, Marrakech, Marrakech-Safi, Morocco"
521,Hotel Antico Termine Sure Hotel Collection by Best Western,4,"Via Stazione 44, Lugagnano, Sona, Province of Verona, Veneto, Italy"
522,Stargazing Hotel Sahara Sky,4,"B.p. 28, Zagora, Souss-Massa, Morocco"
523,Riad Moucharabieh,4,"27 Derb l'Hotel, Marrakech, Marrakech-Safi, Morocco"
524,Riad ABHAR,4,"4, Derb Toubib Rahba Kedima, Marrakech, Marrakech-Safi, Morocco"
525,Bab Hotel,4,"Rue Mohammed El Baqal, Marrakech, Marrakech-Safi, Morocco"
526,Hotel marmar,4,"19 Avenue Prince Moulay Abdellah, Ouarzazate, Draa-Tafilalet, Morocco"
527,ibis Casa-Voyageurs,4,"Avenue Ba Hmad, Casablanca, Casablanca-Settat, Morocco"
528,Riad Al Tainam,3.5,"Derb saada, Marrakech, Marrakech-Safi, Morocco"
529,Essaouira Youth Hostel & Social Travel,3.5,"17 Rue Laghrissi, Essaouira, Marrakech-Safi, Morocco"
