,hotel name,mark,location
60,Villa Surya Yoga & Meditation Retreat by Dfrost almugar S.a.r.l. Morocco,5,"Imi Ouaddar 13, Imi Ouaddar, Souss-Massa, Morocco"
61,Residence Yasmina Agadir,4,"Rue de la Jeunesse, Agadir, Souss-Massa, Morocco"
62,Hyatt Regency Taghazout,4.5,"Km 17 Essaouira Road, Taghazout, Souss-Massa, Morocco"
63,Surf Coast Morocco,5,"30 Panorama Street, Taghazout, Souss-Massa, Morocco"
64,Residence Hoteliere Fleurie,4,"Rue de la Foire, Agadir, Souss-Massa, Morocco"
65,Banana Surf Morocco,5,"Agadir, Souss-Massa, Morocco"
66,The Surf Hotel,5,"Route d'Essaouira, Tamraght, Agadir, Souss-Massa, Morocco"
67,The Lunar Surf House,5,"En Route to Essaouira, Tamraght, Agadir, Souss-Massa, Morocco"
68,Valeria Jardins D'Agadir Resort,4,"Rue Oued Souss, Agadir, Souss-Massa, Morocco"
69,Maroc-Oasis,4.5,"Sidi Bibi, Ben Gammoud, Agadir, Souss-Massa, Morocco"
70,Omega Hotel,3.5,"G11 Lotissement Founty, Agadir, Souss-Massa, Morocco"
71,Flathotel Agadir,3,"Baie Des Palmairs, Agadir, Souss-Massa, Morocco"
72,Sahara Hotel Agadir,3,"Blvd Mohammed V, Agadir, Souss-Massa, Morocco"
73,Hotel Dar Zitoune,5,"Boutarialt El Barrania, Taroudant, Souss-Massa, Morocco"
74,Hilton Taghazout Bay Beach Resort & Spa,4.5,"Station Touristique De Taghazout Bay, Taghazout, Souss-Massa, Morocco"
75,Aloha Surf Camp Maroc,4.5,"Route de Taghazout, Tamraght, Agadir, Souss-Massa, Morocco"
76,Surf House Morocco,5,"Hay Ait Soual, Tamraght, Agadir, Souss-Massa, Morocco"
77,Salt House Morocco,5,"Tamraght Oufella N27 Dr Skoutti, Tamraght, Agadir, Souss-Massa, Morocco"
78,Jaz Mirabel Beach,4.5,"Nabq Bay, Sharm El Sheikh, South Sinai, Red Sea and Sinai, Egypt"
79,Magador Al Madina Hotel,3,"Blvd du 20 Aout, secteur Balneaire, Agadir, Souss-Massa, Morocco"
80,New Farah Hotel,3.5,"Rue de la Foire, Agadir, Souss-Massa, Morocco"
81,Surf Berbere Surf Camp Taghazout,4.5,"Taghazout, Souss-Massa, Morocco"
82,Dar Liouba,4.5,"28 Impasse Moulay Ismail, Essaouira, Marrakech-Safi, Morocco"
83,Palais Oumensour,4.5,"Borj Oumensour Tadjount Taroudant, Taroudant, Souss-Massa, Morocco"
84,Bagus Surf Camp,5,"Tamraght Village, Tamraght, Agadir, Souss-Massa, Morocco"
85,Marhaba,3,"BP 346 Avenue Hassan II, Agadir, Souss-Massa, Morocco"
86,Residence Amwaj,2.5,"Rue de la Foire, Agadir, Souss-Massa, Morocco"
87,Borjs Hotel Suites & Spa,4,"Secteur Touristique, Agadir, Souss-Massa, Morocco"
88,Royal Mirage Agadir,3.5,"Boulevard Mohammed V, Agadir, Souss-Massa, Morocco"
89,Hotel El Andalous Lounge & Spa,3,"Avenue President Kennedy, Marrakech, Marrakech-Safi, Morocco"
90,Khalij Agadir Hotel & Spa,3,"Secteur Balneaire, Agadir, Souss-Massa, Morocco"
91,La Ferme Grenadine,5,"Km 44 Ouled Teima, Agadir, Souss-Massa, Morocco"
92,Chillout Surf Hostel,5,"Tamraght, Agadir, Souss-Massa, Morocco"
93,Hamilton Agadir,2.5,"Boulevard Mohammed V, Agadir, Souss-Massa, Morocco"
94,L'Auberge Taghazout,4.5,"Centre Ville, Taghazout, Souss-Massa, Morocco"
95,La Suite Hotel Agadir,3,"Founty Zone Touristique, Agadir, Souss-Massa, Morocco"
96,Mabrouk Hotel & Suites,3.5,"Bd du 20 aout, secteur balniere, Agadir, Souss-Massa, Morocco"
97,Amani Hotel,4,"11 Rue Abou Bakr Seddiq, Marrakech, Marrakech-Safi, Morocco"
98,Hotel Islane,4,"279 Avenue Mohammed VI, Marrakech, Marrakech-Safi, Morocco"
99,Tamaght Surf Hostel,5,"Morocco Road To Taghazout Village, Tamraght, Agadir, Souss-Massa, Morocco"
100,Kasbah Tabelkoukt,4.5,"4 km After Mirleft, On the Way To Sidi Ifni, Mirleft, Souss-Massa, Morocco"
101,Sunshine Surf Morocco,5,"Villa Sunshine, Dr Skoutti, Tamraght, Agadir, Souss-Massa, Morocco"
102,Cli Surf House Morocco,5,"Tamraght, Agadir, Souss-Massa, Morocco"
103,Munga Guesthouse,4.5,"Rue Iwlit, Taghazout, Souss-Massa, Morocco"
104,Villa Mandala - Yoga Retreat,5,"Aourir Beach, Aourir, Souss-Massa, Morocco"
105,Bianca Beach Family & Resort,3.5,"Marina d'Agadir, Agadir, Souss-Massa, Morocco"
106,Africa Extrem Taghazout Apartments,4.5,"136 Essaouira Road, Taghazout, Souss-Massa, Morocco"
107,World of Waves,4.5,"Front de Mer, Douar Taghazout, Taghazout, Souss-Massa, Morocco"
108,Local Surf Maroc,5,"Rue de la Mosquee, Tamraght, Agadir, Souss-Massa, Morocco"
109,Riad El Aissi,4.5,"Km 3 Village Talaa Direction Agadir Par Amscroud, Taroudant, Souss-Massa, Morocco"
110,La Petite Suede,3.5,"Avenue Hassan II, Agadir, Souss-Massa, Morocco"
111,Auberge Kasbah Chez Amaliya,4,"Ameln Valley, BP 41, Tafraoute, Souss-Massa, Morocco"
112,Domaine Villate Limoune,4.5,"KM 40 N10 Ain Chaib, Oulad Teima, Souss-Massa, Morocco"
113,Riad Imourane,4,"KM15 Route d'Essaouira Agadir, Tamraght, Agadir, Souss-Massa, Morocco"
114,Nassim Hotel,3.5,"115 Bd., Mohammed V, Gueliz, Marrakech, Marrakech-Safi, Morocco"
115,Free Surf Maroc,5,"Route d'Essaouira, Km 14, Tamraght, Agadir, Souss-Massa, Morocco"
116,Surfstay-Taghazout,5,"Taghazout Center, Taghazout, Souss-Massa, Morocco"
117,Dar Banana,5,"Hay Assrkit, Agadir, Souss-Massa, Morocco"
118,Hotel El Bahia,4.5,"Rue El Mahdi Bin Toummert, Agadir, Souss-Massa, Morocco"
119,He'e Nalu Surf Camp,5,"Hay Tissaliouine, Tamraght, Agadir, Souss-Massa, Morocco"
120,La Porte des Etoiles,4.5,"No 141 Bloc E 5 - Cite Dakhla, Agadir, Souss-Massa, Morocco"
121,The Surf Hostel,4.5,"Taghazout Center, Taghazout, Souss-Massa, Morocco"
122,Appart-hotel Founty Beach,2.5,"Lot A8 SONABA Founty, Agadir, Souss-Massa, Morocco"
123,Ondiraitlesud,4.5,"Oasis Amtoudi BP 112, Taghjijt, Guelmim-Oued Noun, Morocco"
124,Taghazout Surf Waves,5,"Taghazout Centre Florida Restaurant, Taghazout, Souss-Massa, Morocco"
125,Follow The Sun,5,"1 Tamawanza, Aourir, Souss-Massa, Morocco"
126,Ocean Atlantic View,3.5,"Sonaba Founty, Agadir, Souss-Massa, Morocco"
127,Hotel Littoral,4,"Km 12 Vers Taghazout-Aourir, Awrir, Agadir, Souss-Massa, Morocco"
128,Surf Paradise Morocco,5,"Route de Essouira, Tamraght, Agadir, Souss-Massa, Morocco"
129,Riad de l'Olivier,5,"Akesri Route D'Imouzzer Idaou Tanane, Imouzzer des Ida Outanane, Souss-Massa, Morocco"
130,Dar Randigaba,5,"Bab Agafay Av Allal Ben Abdellah, Taroudant, Souss-Massa, Morocco"
131,Villa du Souss,5,"Dr Fouk Jerf Temsia, Agadir, Souss-Massa, Morocco"
132,Les 3 Chameaux,4.5,"Fort de tidli, Mirleft, Souss-Massa, Morocco"
133,Riad Jnane Ines,4.5,"Ain Lamdiouar, Taroudant, Souss-Massa, Morocco"
134,La Vida Surf,4.5,"Ait Ahmed, Taghazout, Souss-Massa, Morocco"
135,Africaspirit Morocco,5,"Taghazout Centre, Taghazout, Souss-Massa, Morocco"
136,Appartement Hotel Sofines,4.5,"10 Lot.Founty.Zone Hoteliere.Secteur A.Lot.A, Agadir, Souss-Massa, Morocco"
137,Devils Rock Surf Camp,4.5,"Route d'Essaouira, Agadir, Souss-Massa, Morocco"
138,Tigmi Ocean Glory,5,"Hay Tissaliouine, Tamraght, Agadir, Souss-Massa, Morocco"
139,Villa Solaria,4.5,"Douar Essahel Tamraght, Tamraght, Agadir, Souss-Massa, Morocco"
140,Oasis de Tiout,4.5,"Douar Tagadirt Ndouche, Tiout, Souss-Massa, Morocco"
141,Hotel Al Mamoun,4.5,"42 Lotissement Najah, Pres de Marjane Inezgane, Inezgane, Agadir, Souss-Massa, Morocco"
142,Aftas Beach Guest House,4.5,"Aftas Beach, Mirleft, Souss-Massa, Morocco"
143,Riad Dar Dzahra,4.5,"73 Derb Aka, Taroudant, Souss-Massa, Morocco"
144,Surf Stay,4.5,"18 Appt No 4, Immeuble (Block), Taghazout, Souss-Massa, Morocco"
145,Original Surf Morocco,5,"Tamraght, Agadir, Souss-Massa, Morocco"
146,La Source Taghazout,4.5,"KM 22 Route d'Essaaouira, Agadir, Souss-Massa, Morocco"
147,Ranch Les 2 Gazelles,4.5,"Mirleft, Souss-Massa, Morocco"
148,Tigmi Bulbul Hotel,4.5,"Douar Amtoudi, Taghjijt, Guelmim-Oued Noun, Morocco"
149,Riad Taroudant Palmiers,4,"Boulevard le Prince Heriter, Taroudant, Souss-Massa, Morocco"
150,Riad Dar Foundouk & Spa,4,"3 Derb Sidi Bouharba Hart Soura, Marrakech, Marrakech-Safi, Morocco"
151,Dynamic Loisirs,4.5,"Bp 6241, Agadir, Souss-Massa, Morocco"
152,Dar Nour El Houda,5,"3 Derb Lahdhiri, Marrakech, Marrakech-Safi, Morocco"
153,Dar Ilham,5,"13 Km , Route de Fes, Marrakech, Marrakech-Safi, Morocco"
154,Dar Rocmarra,5,"Derb el Halfaoui, 29, Bab Doukkala, Marrakech, Marrakech-Safi, Morocco"
155,Solid Surf House Morocco,5,"Tamraght, Agadir, Souss-Massa, Morocco"
156,Riad Dar Sbihi,5,"25, Derb Taht El-Khochba,, Marrakech, Marrakech-Safi, Morocco"
157,Sally's B&B,5,"Les Amicales, Mirleft, Souss-Massa, Morocco"
158,Riad Karam Hotel,2.5,"Cite Founty, Agadir, Souss-Massa, Morocco"
159,Residence Igoudar Apartments,3,"Boulevard 20, Agadir, Souss-Massa, Morocco"
160,Hotel Tafoukt,4,"116 Avenue Quatrieme D.M.M, Marrakech, Marrakech-Safi, Morocco"
161,Villa Azur,4,"Route D'essaouira, Tamraght, Agadir, Souss-Massa, Morocco"
162,Fort Bou-Jerif,4,"Bp 504, Guelmim, Guelmim-Oued Noun, Morocco"
163,La Dune,4,"Marokko, Sidi R'bat, Souss-Massa, Morocco"
164,Hotel Sahara,2.5,"Av Okba Ibnou Nafiaa, Essaouira, Marrakech-Safi, Morocco"
165,Hotel La Tour du Sud,3.5,"Avenue Kennedy, Talborjt, Agadir, Souss-Massa, Morocco"
166,Ksar Massa,3.5,"Plage de Sidi Rbat, Agadir, Souss-Massa, Morocco"
167,Auberge Restaurant Le Safran,3.5,"Centre Taliouine, Taliouine, Souss-Massa, Morocco"
168,Hotel des Palmiers,3.5,"Avenue du Prince Sidi Mohamed, Agadir, Souss-Massa, Morocco"
169,Dar al Hossoun,5,"Quartier Hossoun, Sidi Mbark, Taroudant, Souss-Massa, Morocco"
170,Sunset Surfhouse,5,"Village Tamraght Route de Taghazout, Tamraght, Agadir, Souss-Massa, Morocco"
171,Hashpoint Surf Camp,4.5,"107 Rue Tayoughte, Taghazout, Souss-Massa, Morocco"
172,Desert Surf Morocco,5,"Route to Essaouira, Tamraght, Agadir, Souss-Massa, Morocco"
173,Riad Janoub,5,"193 Rue de La Grande Mosquee, Tiznit, Souss-Massa, Morocco"
174,The Yogi Surfer,5,"Tissaliouine Entre Rue 35 Et CPR 238 TF 2-13-424, Tamraght, Agadir, Souss-Massa, Morocco"
175,Palais Salam,3,"Avenue Moulay Ismail, Taroudant, Souss-Massa, Morocco"
176,"Riad L'Orchidee Suites, SPA & table d'hotes",4.5,"42-43 Sidi Bouamar - Riad Laarouss, Marrakech, Marrakech-Safi, Morocco"
177,Paradies Quad,5,"Hay Soual, Tamraght, Agadir, Souss-Massa, Morocco"
178,Sirayane Boutique Hotel & Spa,5,"Km 8 Route D'Amezmiz, Marrakech, Marrakech-Safi, Morocco"
179,Les Amicales Agadir Morocco,5,"Apartment 9 Imm 79, GH20 B, Essaada 2, Agadir, Souss-Massa, Morocco"
180,Logis La Marine,5,"1 Av. Prince Moulay Abdallah, Sidi Ifni, Souss-Massa, Morocco"
181,Un The au bout du Monde,4.5,"BP 147 Mirleft, Mirleft, Souss-Massa, Morocco"
182,Salt Skin Surf House,5,"Hay Zgoumi, Tamraght, Agadir, Souss-Massa, Morocco"
183,Reves d'Oasis,5,"Bloc 6, Nr 1, Ait Melloul, Agadir, Souss-Massa, Morocco"
184,Riad Eden Blue,5,"Douar Sahel, Tamraght, Agadir, Souss-Massa, Morocco"
185,Maroc Surf Camp Villa,5,"Hay Tissaluine, Tamraght, Agadir, Souss-Massa, Morocco"
186,Appart'Hotel Eden Beach,5,"Km 26, Route d_Essaouira, Imi Ouaddar, Souss-Massa, Morocco"
187,Fairmont Taghazout Bay,4.5,"Km 17, Route D'Essaouira, Taghazout, Souss-Massa, Morocco"
188,Blue Waves Surf House Anza,5,"9 Projet Social, Agadir, Souss-Massa, Morocco"
189,Riad El Koudia,5,"Douar El Koudia, El Koudia El Beida, Souss-Massa, Morocco"
190,Hotel Almoggar Garden Beach,3.5,"BV Mohamed V, Agadir, Souss-Massa, Morocco"
191,Go Surf Morocco,5,"Zgoumi Street Tamraght, Agadir, Souss-Massa, Morocco"
192,Tizourgane Kasbah,4,"BP 63 Idaougnidif, Touchant, Souss-Massa, Morocco"
193,L'Ane Vert,4.5,"Douar Zaouia, Tafedna, Marrakech-Safi, Morocco"
194,Villa Riadana,4.5,"Domaine de Riades Bensergao, Agadir, Souss-Massa, Morocco"
195,Tigmi Surf Morocco,5,"Km 14 Taghazoom, Tamraght, Agadir, Souss-Massa, Morocco"
196,Kasbah Gousteau,4.5,"Sidi Amara, Taroudant, Souss-Massa, Morocco"
197,Surf Camp Taghazout,5,"N 27 Rue Tasga Oudrar, Taghazout, Souss-Massa, Morocco"
198,Maison D'hotes Tiwaline,4.5,"21 Rue Casablanca, Sidi Ifni, Souss-Massa, Morocco"
199,Residence Sacha,4.5,"Place de la Jeunesse, Agadir, Souss-Massa, Morocco"
200,El Malara,5,"1 Route des Rochers Peints, Tafraoute, Souss-Massa, Morocco"
