,hotel name,mark,location
59,TUI BLUE Riu Tikida Garden,4,"Circuit de la Palmeraie - BP 1585, Marrakech, Marrakech-Safi, Morocco"
60,Riad Abaca Badra,5,"Arset Aouzal, Marrakech, Marrakech-Safi, Morocco"
61,Riad Al Massarah,5,"26 Derb Djedid, Marrakech, Marrakech-Safi, Morocco"
62,Hotel Riu Tikida Palmeraie,4,"Route Fes, Km 6, Marrakech, Marrakech-Safi, Morocco"
63,Riad Magellan,5,"62 derb el Hammam, Marrakech, Marrakech-Safi, Morocco"
64,Riad Tizwa,5,"26 Derb Gueraba, Marrakech, Marrakech-Safi, Morocco"
65,Riad Cocoon,5,"10 bis Derb Cherif, Marrakech, Marrakech-Safi, Morocco"
66,Hostel Riad Marrakech Rouge,4,"Riad Zitoune Jdid, Marrakech, Marrakech-Safi, Morocco"
67,Le Meridien N'Fis,4,"Avenue Mohammed Vi, Marrakech, Marrakech-Safi, Morocco"
68,Kenzi Menara Palace,4,"Avenue Mohammed VI, Marrakech, Marrakech-Safi, Morocco"
69,Le Farnatchi,5,"2 Derb el Farnatchi, Rue Souk el Fassis, Marrakech, Marrakech-Safi, Morocco"
70,Dellarosa Hotel Suites & Spa,4,"5 Avenue Moulay Hassan, Marrakech, Marrakech-Safi, Morocco"
71,Riad Hikaya,5,"252 Rue Sidi Mansour, Marrakech, Marrakech-Safi, Morocco"
72,Riad Africa and Spa,4.5,"94 - 95 Derb Sakka, Marrakech, Marrakech-Safi, Morocco"
73,Novotel Marrakech Hivernage,3.5,"Rue Haroun Errachid, Marrakech, Marrakech-Safi, Morocco"
74,Equity Point Marrakech Hostel,4,"80 Derb El Hammam, Marrakech, Marrakech-Safi, Morocco"
75,Riad Jona,5,"Riad zitoune el kedim, Marrakech, Marrakech-Safi, Morocco"
76,"The Oberoi, Marrakech",5,"Route De Ouarzazate, Marrakech, Marrakech-Safi, Morocco"
77,Riad Melhoun & Spa,5,"99 Derb Sidi moussa Quartier La Bahia, Marrakech, Marrakech-Safi, Morocco"
78,Riad Adore,5,"94 Derb Tizougarine, Marrakech, Marrakech-Safi, Morocco"
79,MonRiad,4.5,"4 Derb Lahbasse, Marrakech, Marrakech-Safi, Morocco"
80,Diwane Hotel & Spa Marrakech,4,"24 Rue Yougoslavie, Marrakech, Marrakech-Safi, Morocco"
81,Riad 58 Blu,5,"Derb Jdid 58, Marrakech, Marrakech-Safi, Morocco"
82,Riad Cherrata,5,"Arset Elhouta Derb Cherrata 25, Marrakech, Marrakech-Safi, Morocco"
83,Dar Nour El Houda,5,"3 Derb Lahdhiri, Marrakech, Marrakech-Safi, Morocco"
84,Zamzam Riad,5,"107, Rue Kaa El Machraa, Marrakech, Marrakech-Safi, Morocco"
85,Riad Dar Silsila,4.5,"11 Derb Jdid Elkabir. Laksour, Marrakech, Marrakech-Safi, Morocco"
86,Kenzi Club Agdal Medina,4.5,"Blvd Mohamed VI, Marrakech, Marrakech-Safi, Morocco"
87,Villa Makassar,5,"20 Derb Chtouka, Marrakech, Marrakech-Safi, Morocco"
88,Savoy Le Grand Hotel,4,"Avenue Prince My Rachid, Marrakech, Marrakech-Safi, Morocco"
89,Riad Argan,5,"33, derb Zenka Dika, Marrakech, Marrakech-Safi, Morocco"
90,Dar Les Cigognes,4.5,"108 Rue De Berima, Marrakech, Marrakech-Safi, Morocco"
91,Riad Maison Arabo Andalouse,5,"Derb Touareg No 67, Marrakech, Marrakech-Safi, Morocco"
92,Riad Dar Sbihi,5,"25, Derb Taht El-Khochba,, Marrakech, Marrakech-Safi, Morocco"
93,Riad Due,5,"2 Derb Chentouf, Marrakech, Marrakech-Safi, Morocco"
94,Dar Rocmarra,5,"Derb el Halfaoui, 29, Bab Doukkala, Marrakech, Marrakech-Safi, Morocco"
95,Riad Noos Noos,5,"8 Derb Jemaa Lakbir, Marrakech, Marrakech-Safi, Morocco"
96,Riad Djebel,5,"190, Derb Skaya, Marrakech, Marrakech-Safi, Morocco"
97,Riad Les Trois Palmiers El Bacha,5,"35 - 36 Derb Tizougarine, Marrakech, Marrakech-Safi, Morocco"
98,Riad Shaden,5,"222 Derb El Kadi, Bab Ailen, Marrakech, Marrakech-Safi, Morocco"
99,Riad Kaiss by Anika,5,"65 Derb Jdid, Marrakech, Marrakech-Safi, Morocco"
100,Kasbah Tamadot,4.5,"Bp 67, Asni, Marrakech-Safi, Morocco"
101,Riad Dar Eliane,4.5,"N39, Derb Maada,Azbezt, Marrakech, Marrakech-Safi, Morocco"
102,Riad Alnadine,5,"3 Derb Hajjama, Marrakech, Marrakech-Safi, Morocco"
103,Riyad Al Moussika,5,"62 Derb Boutouil, Marrakech, Marrakech-Safi, Morocco"
104,Riad Dixneuf La Ksour,5,"Derb Sania No. 16, Marrakech, Marrakech-Safi, Morocco"
105,Dar Habiba,5,"Rue Riad Zituon LkDim, Marrakech, Marrakech-Safi, Morocco"
106,Riad Saba,5,"2 derb Cherkaoui, Marrakech, Marrakech-Safi, Morocco"
107,Palmeraie Palace,4,"Circuit De La Palmeraie, Marrakech, Marrakech-Safi, Morocco"
